Experiment,Best_Round,PR-AUC,Max-F1,Balanced_Acc,Precision,Recall,Total_Comm_MB,Conv_Round
baseline,24,0.7475772657736535,0.8936170212765957,0.9456989247311829,0.8873239436619719,0.9,4295.717600000002,2
non-iid-top-k-0.1-quant-fp16,98,0.7405151660544749,0.8857142857142857,0.9385560675883257,0.8857142857142857,0.8857142857142857,642.7703999999999,14
top-k-0.1-quant-fp16,20,0.7396974859148825,0.8783783783783784,0.9572964669738864,0.8333333333333334,0.9285714285714286,642.2805999999998,16
non-iid-baseline,12,0.7367995656505114,0.8633093525179856,0.9237327188940092,0.8695652173913043,0.8571428571428571,4295.717600000002,0
quantization-fp16,4,0.7354361719304298,0.8936170212765957,0.9456989247311829,0.8873239436619719,0.9,2147.858800000001,2
top-k-0.1,34,0.7239591191472287,0.8413793103448276,0.9281874039938556,0.8133333333333334,0.8714285714285714,858.4999999999999,6
top-k-0.05,18,0.5524339659330181,0.6491228070175439,0.7605222734254993,0.8409090909090909,0.5285714285714286,428.31359999999995,0
