Round,PR-AUC,Max-F1,Precision,Recall,Accuracy,Balanced_Accuracy,TP,FP,TN,FN,Optimal-Threshold
52,0.7209665753102692,0.8275862068965517,0.8,0.8571428571428571,0.975,0.9205069124423964,60,15,915,10,15.16688315073649
54,0.7201602025209822,0.8275862068965517,0.8,0.8571428571428571,0.975,0.9205069124423964,60,15,915,10,15.160928281148273
56,0.7178835690866812,0.8235294117647058,0.8484848484848485,0.8,0.976,0.8946236559139785,56,10,920,14,16.590369466145834
58,0.717974017690622,0.8309859154929577,0.8194444444444444,0.8428571428571429,0.976,0.9144393241167434,59,13,917,11,15.322980041503905
60,0.7160019335597175,0.8211920529801324,0.7654320987654321,0.8857142857142857,0.973,0.9326420890937019,62,19,911,8,14.431510518391926
62,0.7151113516370513,0.8175182481751825,0.835820895522388,0.8,0.975,0.8940860215053763,56,11,919,14,16.647027791341145
64,0.7138809218172394,0.8175182481751825,0.835820895522388,0.8,0.975,0.8940860215053763,56,11,919,14,16.688980204264322
66,0.7137044504123307,0.821917808219178,0.7894736842105263,0.8571428571428571,0.974,0.9199692780337941,60,16,914,10,15.15376937866211
68,0.7179839334336258,0.8322147651006712,0.7848101265822784,0.8857142857142857,0.975,0.9337173579109063,62,17,913,8,14.732256806691487
70,0.716326529077775,0.8266666666666667,0.775,0.8857142857142857,0.974,0.933179723502304,62,18,912,8,14.695646177927651
72,0.7139957385341534,0.821917808219178,0.7894736842105263,0.8571428571428571,0.974,0.9199692780337941,60,16,914,10,14.894490687052409
74,0.7177737197637455,0.8299319727891157,0.7922077922077922,0.8714285714285714,0.975,0.9271121351766514,61,16,914,9,14.902233441670736
76,0.7169517206623087,0.8299319727891157,0.7922077922077922,0.8714285714285714,0.975,0.9271121351766514,61,16,914,9,14.825368957519531
78,0.719692431939549,0.8299319727891157,0.7922077922077922,0.8714285714285714,0.975,0.9271121351766514,61,16,914,9,14.938558413187664
80,0.7190459434954005,0.8322147651006712,0.7848101265822784,0.8857142857142857,0.975,0.9337173579109063,62,17,913,8,14.574441350301107
82,0.7135008200936168,0.8266666666666667,0.775,0.8857142857142857,0.974,0.933179723502304,62,18,912,8,14.417898063659669
84,0.7136516253794851,0.8378378378378378,0.7948717948717948,0.8857142857142857,0.976,0.9342549923195085,62,16,914,8,14.58135166168213
86,0.7209988476236947,0.8368794326241135,0.8309859154929577,0.8428571428571429,0.977,0.9149769585253456,59,12,918,11,15.303785152435303
88,0.7212172374138276,0.8435374149659864,0.8051948051948052,0.8857142857142857,0.977,0.9347926267281106,62,15,915,8,14.401598072052002
90,0.7150970248197465,0.8413793103448276,0.8133333333333334,0.8714285714285714,0.977,0.9281874039938556,61,14,916,9,14.846180267333985
92,0.7185891176726791,0.8413793103448276,0.8133333333333334,0.8714285714285714,0.977,0.9281874039938556,61,14,916,9,14.96112787882487
94,0.7131060337241913,0.8299319727891157,0.7922077922077922,0.8714285714285714,0.975,0.9271121351766514,61,16,914,9,14.889184157053629
96,0.7173005448733248,0.8356164383561644,0.8026315789473685,0.8714285714285714,0.976,0.9276497695852535,61,15,915,9,14.99436441421509
98,0.7167402217708586,0.8413793103448276,0.8133333333333334,0.8714285714285714,0.977,0.9281874039938556,61,14,916,9,15.045765997568765
100,0.719567219834489,0.8322147651006712,0.7848101265822784,0.8857142857142857,0.975,0.9337173579109063,62,17,913,8,14.322224566141765
