Round,PR-AUC,Max-F1,Precision,Recall,Accuracy,Balanced_Accuracy,TP,FP,TN,FN,Optimal-Threshold
0,0.6919292364216161,0.7669172932330827,0.8095238095238095,0.7285714285714285,0.969,0.8578341013824884,51,12,918,19,65.85768692016602
2,0.7249650726939418,0.851063829787234,0.8450704225352113,0.8571428571428571,0.979,0.9226574500768049,60,11,919,10,50.61481264750163
4,0.7383000076976504,0.8776978417266187,0.8840579710144928,0.8714285714285714,0.983,0.9314132104454685,61,8,922,9,40.9004429880778
6,0.737204027850933,0.9,0.9,0.9,0.986,0.946236559139785,63,7,923,7,32.76364929199219
8,0.7398681945970178,0.9,0.9,0.9,0.986,0.946236559139785,63,7,923,7,34.29477862040202
10,0.7394551152390094,0.9078014184397163,0.9014084507042254,0.9142857142857143,0.987,0.9533794162826421,64,7,923,6,28.826637064615884
12,0.7431246653518848,0.9078014184397163,0.9014084507042254,0.9142857142857143,0.987,0.9533794162826421,64,7,923,6,28.16563908894857
14,0.7407577631825053,0.9,0.9,0.9,0.986,0.946236559139785,63,7,923,7,27.660554288228354
16,0.731832306359386,0.8857142857142857,0.8857142857142857,0.8857142857142857,0.984,0.9385560675883257,62,8,922,8,26.28122104644775
18,0.7235073177614891,0.8840579710144928,0.8970588235294118,0.8714285714285714,0.984,0.9319508448540706,61,7,923,9,32.107068684895836
20,0.7219474195519213,0.8840579710144928,0.8970588235294118,0.8714285714285714,0.984,0.9319508448540706,61,7,923,9,32.4010009765625
22,0.7180653777787084,0.8840579710144928,0.8970588235294118,0.8714285714285714,0.984,0.9319508448540706,61,7,923,9,32.439329058329264
24,0.711622384524979,0.8840579710144928,0.8970588235294118,0.8714285714285714,0.984,0.9319508448540706,61,7,923,9,31.50598726908366
26,0.7166613136881327,0.8840579710144928,0.8970588235294118,0.8714285714285714,0.984,0.9319508448540706,61,7,923,9,31.771287956237796
28,0.7180558294093621,0.8840579710144928,0.8970588235294118,0.8714285714285714,0.984,0.9319508448540706,61,7,923,9,32.434822692871094
30,0.7186542754487568,0.8714285714285714,0.8714285714285714,0.8714285714285714,0.982,0.9308755760368663,61,9,921,9,32.839239807128905
32,0.7188764524484251,0.8714285714285714,0.8714285714285714,0.8714285714285714,0.982,0.9308755760368663,61,9,921,9,32.88445912679037
34,0.7200709763047043,0.8714285714285714,0.8714285714285714,0.8714285714285714,0.982,0.9308755760368663,61,9,921,9,32.7815872446696
36,0.7175649901695565,0.8840579710144928,0.8970588235294118,0.8714285714285714,0.984,0.9319508448540706,61,7,923,9,32.9496310043335
38,0.7159490706499698,0.8676470588235294,0.8939393939393939,0.8428571428571429,0.982,0.9176651305683563,59,7,923,11,35.39041203816731
40,0.7184094444896696,0.8714285714285714,0.8714285714285714,0.8714285714285714,0.982,0.9308755760368663,61,9,921,9,32.31483634948731
42,0.7240063318221928,0.8776978417266187,0.8840579710144928,0.8714285714285714,0.983,0.9314132104454685,61,8,922,9,33.74621481577555
44,0.7227023413518108,0.8840579710144928,0.8970588235294118,0.8714285714285714,0.984,0.9319508448540706,61,7,923,9,32.40857584635416
46,0.7241308405525964,0.8840579710144928,0.8970588235294118,0.8714285714285714,0.984,0.9319508448540706,61,7,923,9,32.35276439666748
48,0.7254472582488977,0.8840579710144928,0.8970588235294118,0.8714285714285714,0.984,0.9319508448540706,61,7,923,9,33.09257732391358
50,0.7265983468793764,0.8840579710144928,0.8970588235294118,0.8714285714285714,0.984,0.9319508448540706,61,7,923,9,33.28562829335531
