Round,PR-AUC,Max-F1,Precision,Recall,Optimal-Threshold
0,0.268952464759762,0.3716814159292035,0.2692307692307692,0.6,32.47876262664795
10,0.39918706002540877,0.44897959183673464,0.3492063492063492,0.6285714285714286,26.269839782714843
20,0.5293274779014971,0.547945205479452,0.5263157894736842,0.5714285714285714,24.363626543680823
30,0.653786333790954,0.6184210526315789,0.573170731707317,0.6714285714285714,21.21811841328939
40,0.7160196532079324,0.6466165413533834,0.6825396825396826,0.6142857142857143,21.422605107625326
50,0.6596995918692629,0.6363636363636364,0.6774193548387096,0.6,19.460367736816405
60,0.6116030308930613,0.606060606060606,0.6451612903225806,0.5714285714285714,20.42589584350586
70,0.6306337590753702,0.6,0.65,0.5571428571428572,20.65420731862386
80,0.6723941234815184,0.6521739130434783,0.6617647058823529,0.6428571428571429,18.697887490590414
90,0.5925414645787035,0.6013986013986014,0.589041095890411,0.6142857142857143,19.053307603200277
100,0.6183252102752131,0.588235294117647,0.6060606060606061,0.5714285714285714,19.49786153157552
110,0.6730040103820949,0.6825396825396827,0.7678571428571429,0.6142857142857143,20.268053614298505
120,0.6618589386666659,0.603174603174603,0.6785714285714286,0.5428571428571428,19.24066396077474
130,0.6492465233054641,0.5806451612903226,0.6666666666666666,0.5142857142857142,18.421277402242026
140,0.6384741176831685,0.6341463414634148,0.7358490566037735,0.5571428571428572,20.015014203389484
150,0.7148207315743993,0.640625,0.7068965517241379,0.5857142857142857,18.682099997202556
160,0.638227018465375,0.5864661654135339,0.6190476190476191,0.5571428571428572,19.003530909220377
170,0.6937623065198599,0.6212121212121212,0.6612903225806451,0.5857142857142857,16.927743504842123
180,0.6723823321738128,0.6016260162601625,0.6981132075471698,0.5285714285714286,18.313223876953128
190,0.6965694483884788,0.6504065040650406,0.7547169811320755,0.5714285714285714,19.182621161142986
200,0.7247197175860247,0.6623376623376622,0.6071428571428571,0.7285714285714285,14.972742156982425
210,0.6868422166362399,0.6241134751773049,0.6197183098591549,0.6285714285714286,16.333972396850587
220,0.7127907398844895,0.65625,0.7241379310344828,0.6,17.74966204325358
230,0.7039335000708518,0.6521739130434783,0.6617647058823529,0.6428571428571429,16.776630452473956
240,0.6738637269225138,0.6043165467625898,0.6086956521739131,0.6,17.388488337198893
250,0.6017328365547696,0.5499999999999999,0.4888888888888889,0.6285714285714286,15.906724777221678
